Array Size,Time Without Threads (C),Time With Threads (C),Time With OpenMP,Time Without Threads (Python),Time With Threads (Python)
10,0.000491,0.000420,0.000011,0.0001938343048095703,0.004956245422363281
50,0.000561,0.000583,0.000115,0.018115520477294922,0.2398357391357422
100,0.000890,0.000689,0.000799,0.14419341087341309,0.7331569194793701
500,0.202290,0.198073,0.131976,18.327468156814575,48.593003034591675
1000,1.679330,1.696861,1.158211,157.81299757957458,291.919207572937
2000,58.788287,59.524286,61.510898,1280.6671679019928,1865.7274193763733
10,0.000418,0.000372,0.000066,0.00020551681518554688,0.0044858455657958984
50,0.000551,0.000591,0.000155,0.018141984939575195,0.13979434967041016
100,0.001293,0.001111,0.000482,0.14501547813415527,0.9942080974578857
